Accession,Release_Date,Species,Genus,Family,Length,Genotype,Genome_Region,Segment,Authors,Publications,Protein,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
YP_009725318,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,ORF7b,China,Homo sapiens,,2019-12,,ORF7b [Severe acute respiratory syndrome coronavirus 2]
YP_009725296,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,ORF7b,China,Homo sapiens,,2019-12,,ORF7b [Wuhan seafood market pneumonia virus]
YP_009725297,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,180,,,,,,leader protein,China,Homo sapiens,,2019-12,,leader protein [Severe acute respiratory syndrome coronavirus 2]
YP_009725298,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,638,,,,,,nsp2,China,Homo sapiens,,2019-12,,nsp2 [Severe acute respiratory syndrome coronavirus 2]
YP_009725299,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1945,,,,,,nsp3,China,Homo sapiens,,2019-12,,nsp3 [Severe acute respiratory syndrome coronavirus 2]
YP_009725300,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,500,,,,,,nsp4,China,Homo sapiens,,2019-12,,nsp4 [Severe acute respiratory syndrome coronavirus 2]
YP_009725301,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,306,,,,,,3C-like proteinase,China,Homo sapiens,,2019-12,,3C-like proteinase [Severe acute respiratory syndrome coronavirus 2]
YP_009725302,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,290,,,,,,nsp6,China,Homo sapiens,,2019-12,,nsp6 [Severe acute respiratory syndrome coronavirus 2]
YP_009725303,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,83,,,,,,nsp7,China,Homo sapiens,,2019-12,,nsp7 [Severe acute respiratory syndrome coronavirus 2]
YP_009725304,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,198,,,,,,nsp8,China,Homo sapiens,,2019-12,,nsp8 [Severe acute respiratory syndrome coronavirus 2]
YP_009725305,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,113,,,,,,nsp9,China,Homo sapiens,,2019-12,,nsp9 [Severe acute respiratory syndrome coronavirus 2]
YP_009725306,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,139,,,,,,nsp10,China,Homo sapiens,,2019-12,,nsp10 [Severe acute respiratory syndrome coronavirus 2]
YP_009725307,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,932,,,,,,RNA-dependent RNA polymerase,China,Homo sapiens,,2019-12,,RNA-dependent RNA polymerase [Severe acute respiratory syndrome coronavirus 2]
YP_009725308,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,601,,,,,,helicase,China,Homo sapiens,,2019-12,,helicase [Severe acute respiratory syndrome coronavirus 2]
YP_009725309,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,527,,,,,,3'-to-5' exonuclease,China,Homo sapiens,,2019-12,,3'-to-5' exonuclease [Severe acute respiratory syndrome coronavirus 2]
YP_009725310,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,346,,,,,,endoRNAse,China,Homo sapiens,,2019-12,,endoRNAse [Severe acute respiratory syndrome coronavirus 2]
YP_009725311,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,298,,,,,,2'-O-ribose methyltransferase,China,Homo sapiens,,2019-12,,2'-O-ribose methyltransferase [Severe acute respiratory syndrome coronavirus 2]
YP_009725312,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,13,,,,,,nsp11,China,Homo sapiens,,2019-12,,nsp11 [Severe acute respiratory syndrome coronavirus 2]
YP_009725295,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,orf1a polyprotein,China,Homo sapiens,,2019-12,,orf1a polyprotein [Severe acute respiratory syndrome coronavirus 2]
